	beaobachtungsnummer	tag	stall	mischung	anzahl_sauber	anzahl_schmutzig	kommentar	messende person
408	408	10.02.2024	1	dinkel	6	2	alles nur ein traum	generiert
409	409	10.02.2024	1	stroh	6	2	alles nur ein traum	generiert
410	410	10.02.2024	1	sand	6	2	alles nur ein traum	generiert
411	411	10.02.2024	2	dinkel	10	2	alles nur ein traum	generiert
412	412	10.02.2024	2	stroh	10	2	alles nur ein traum	generiert
413	413	10.02.2024	2	sand	6	6	alles nur ein traum	generiert
414	414	11.02.2024	1	dinkel	6	2	alles nur ein traum	generiert
415	415	11.02.2024	1	stroh	6	2	alles nur ein traum	generiert
416	416	11.02.2024	1	sand	8	0	alles nur ein traum	generiert
417	417	11.02.2024	2	dinkel	8	4	alles nur ein traum	generiert
418	418	11.02.2024	2	stroh	10	2	alles nur ein traum	generiert
419	419	11.02.2024	2	sand	7	5	alles nur ein traum	generiert
420	420	12.02.2024	1	dinkel	7	2	alles nur ein traum	generiert
421	421	12.02.2024	1	stroh	9	0	alles nur ein traum	generiert
422	422	12.02.2024	1	sand	6	3	alles nur ein traum	generiert
423	423	12.02.2024	2	dinkel	9	1	alles nur ein traum	generiert
424	424	12.02.2024	2	stroh	8	2	alles nur ein traum	generiert
425	425	12.02.2024	2	sand	8	2	alles nur ein traum	generiert
426	426	13.02.2024	1	dinkel	6	3	alles nur ein traum	generiert
427	427	13.02.2024	1	stroh	7	2	alles nur ein traum	generiert
428	428	13.02.2024	1	sand	7	2	alles nur ein traum	generiert
429	429	13.02.2024	2	dinkel	9	3	alles nur ein traum	generiert
430	430	13.02.2024	2	stroh	11	1	alles nur ein traum	generiert
431	431	13.02.2024	2	sand	7	5	alles nur ein traum	generiert
432	432	14.02.2024	1	dinkel	7	2	alles nur ein traum	generiert
433	433	14.02.2024	1	stroh	6	3	alles nur ein traum	generiert
434	434	14.02.2024	1	sand	6	3	alles nur ein traum	generiert
435	435	14.02.2024	2	dinkel	8	1	alles nur ein traum	generiert
436	436	14.02.2024	2	stroh	9	0	alles nur ein traum	generiert
437	437	14.02.2024	2	sand	7	2	alles nur ein traum	generiert
438	438	15.02.2024	1	dinkel	5	3	alles nur ein traum	generiert
439	439	15.02.2024	1	stroh	8	0	alles nur ein traum	generiert
440	440	15.02.2024	1	sand	5	3	alles nur ein traum	generiert
441	441	15.02.2024	2	dinkel	7	3	alles nur ein traum	generiert
442	442	15.02.2024	2	stroh	9	1	alles nur ein traum	generiert
443	443	15.02.2024	2	sand	5	5	alles nur ein traum	generiert
444	444	16.02.2024	1	dinkel	5	5	alles nur ein traum	generiert
445	445	16.02.2024	1	stroh	10	0	alles nur ein traum	generiert
446	446	16.02.2024	1	sand	4	6	alles nur ein traum	generiert
447	447	16.02.2024	2	dinkel	11	1	alles nur ein traum	generiert
448	448	16.02.2024	2	stroh	8	4	alles nur ein traum	generiert
449	449	16.02.2024	2	sand	6	6	alles nur ein traum	generiert
450	450	17.02.2024	1	dinkel	8	2	alles nur ein traum	generiert
451	451	17.02.2024	1	stroh	9	1	alles nur ein traum	generiert
452	452	17.02.2024	1	sand	6	4	alles nur ein traum	generiert
453	453	17.02.2024	2	dinkel	11	2	alles nur ein traum	generiert
454	454	17.02.2024	2	stroh	11	2	alles nur ein traum	generiert
455	455	17.02.2024	2	sand	8	5	alles nur ein traum	generiert
456	456	18.02.2024	1	dinkel	4	4	alles nur ein traum	generiert
457	457	18.02.2024	1	stroh	5	3	alles nur ein traum	generiert
458	458	18.02.2024	1	sand	4	4	alles nur ein traum	generiert
459	459	18.02.2024	2	dinkel	10	2	alles nur ein traum	generiert
460	460	18.02.2024	2	stroh	11	1	alles nur ein traum	generiert
461	461	18.02.2024	2	sand	9	3	alles nur ein traum	generiert
462	462	19.02.2024	1	dinkel	7	2	alles nur ein traum	generiert
463	463	19.02.2024	1	stroh	8	1	alles nur ein traum	generiert
464	464	19.02.2024	1	sand	8	1	alles nur ein traum	generiert
465	465	19.02.2024	2	dinkel	11	2	alles nur ein traum	generiert
466	466	19.02.2024	2	stroh	12	1	alles nur ein traum	generiert
467	467	19.02.2024	2	sand	5	8	alles nur ein traum	generiert
468	468	20.02.2024	1	dinkel	9	1	alles nur ein traum	generiert
469	469	20.02.2024	1	stroh	9	1	alles nur ein traum	generiert
470	470	20.02.2024	1	sand	6	4	alles nur ein traum	generiert
471	471	20.02.2024	2	dinkel	11	1	alles nur ein traum	generiert
472	472	20.02.2024	2	stroh	11	1	alles nur ein traum	generiert
473	473	20.02.2024	2	sand	6	6	alles nur ein traum	generiert
474	474	21.02.2024	1	dinkel	6	3	alles nur ein traum	generiert
475	475	21.02.2024	1	stroh	7	2	alles nur ein traum	generiert
476	476	21.02.2024	1	sand	6	3	alles nur ein traum	generiert
477	477	21.02.2024	2	dinkel	8	2	alles nur ein traum	generiert
478	478	21.02.2024	2	stroh	10	0	alles nur ein traum	generiert
479	479	21.02.2024	2	sand	6	4	alles nur ein traum	generiert
480	480	22.02.2024	1	dinkel	8	2	alles nur ein traum	generiert
481	481	22.02.2024	1	stroh	8	2	alles nur ein traum	generiert
482	482	22.02.2024	1	sand	5	5	alles nur ein traum	generiert
483	483	22.02.2024	2	dinkel	8	2	alles nur ein traum	generiert
484	484	22.02.2024	2	stroh	10	0	alles nur ein traum	generiert
485	485	22.02.2024	2	sand	6	4	alles nur ein traum	generiert
486	486	23.02.2024	1	dinkel	10	0	alles nur ein traum	generiert
487	487	23.02.2024	1	stroh	9	1	alles nur ein traum	generiert
488	488	23.02.2024	1	sand	6	4	alles nur ein traum	generiert
489	489	23.02.2024	2	dinkel	6	4	alles nur ein traum	generiert
490	490	23.02.2024	2	stroh	8	2	alles nur ein traum	generiert
491	491	23.02.2024	2	sand	6	4	alles nur ein traum	generiert
492	492	24.02.2024	1	dinkel	6	2	alles nur ein traum	generiert
493	493	24.02.2024	1	stroh	8	0	alles nur ein traum	generiert
494	494	24.02.2024	1	sand	5	3	alles nur ein traum	generiert
495	495	24.02.2024	2	dinkel	10	0	alles nur ein traum	generiert
496	496	24.02.2024	2	stroh	9	1	alles nur ein traum	generiert
497	497	24.02.2024	2	sand	6	4	alles nur ein traum	generiert
498	498	25.02.2024	1	dinkel	6	1	alles nur ein traum	generiert
499	499	25.02.2024	1	stroh	6	1	alles nur ein traum	generiert
500	500	25.02.2024	1	sand	4	3	alles nur ein traum	generiert
501	501	25.02.2024	2	dinkel	8	2	alles nur ein traum	generiert
502	502	25.02.2024	2	stroh	8	2	alles nur ein traum	generiert
503	503	25.02.2024	2	sand	4	6	alles nur ein traum	generiert
504	504	26.02.2024	1	dinkel	6	3	alles nur ein traum	generiert
505	505	26.02.2024	1	stroh	9	0	alles nur ein traum	generiert
506	506	26.02.2024	1	sand	4	5	alles nur ein traum	generiert
507	507	26.02.2024	2	dinkel	9	2	alles nur ein traum	generiert
508	508	26.02.2024	2	stroh	10	1	alles nur ein traum	generiert
509	509	26.02.2024	2	sand	5	6	alles nur ein traum	generiert
510	510	27.02.2024	1	dinkel	8	2	alles nur ein traum	generiert
511	511	27.02.2024	1	stroh	9	1	alles nur ein traum	generiert
512	512	27.02.2024	1	sand	7	3	alles nur ein traum	generiert
513	513	27.02.2024	2	dinkel	7	2	alles nur ein traum	generiert
514	514	27.02.2024	2	stroh	9	0	alles nur ein traum	generiert
515	515	27.02.2024	2	sand	7	2	alles nur ein traum	generiert
516	516	28.02.2024	1	dinkel	8	0	alles nur ein traum	generiert
517	517	28.02.2024	1	stroh	6	2	alles nur ein traum	generiert
518	518	28.02.2024	1	sand	3	5	alles nur ein traum	generiert
519	519	28.02.2024	2	dinkel	10	3	alles nur ein traum	generiert
520	520	28.02.2024	2	stroh	11	2	alles nur ein traum	generiert
521	521	28.02.2024	2	sand	7	6	alles nur ein traum	generiert
522	522	29.02.2024	1	dinkel	9	1	alles nur ein traum	generiert
523	523	29.02.2024	1	stroh	9	1	alles nur ein traum	generiert
524	524	29.02.2024	1	sand	7	3	alles nur ein traum	generiert
525	525	29.02.2024	2	dinkel	10	2	alles nur ein traum	generiert
526	526	29.02.2024	2	stroh	10	2	alles nur ein traum	generiert
527	527	29.02.2024	2	sand	9	3	alles nur ein traum	generiert
528	528	01.03.2024	1	dinkel	8	2	alles nur ein traum	generiert
529	529	01.03.2024	1	stroh	9	1	alles nur ein traum	generiert
530	530	01.03.2024	1	sand	8	2	alles nur ein traum	generiert
531	531	01.03.2024	2	dinkel	11	1	alles nur ein traum	generiert
532	532	01.03.2024	2	stroh	11	1	alles nur ein traum	generiert
533	533	01.03.2024	2	sand	6	6	alles nur ein traum	generiert
534	534	02.03.2024	1	dinkel	7	2	alles nur ein traum	generiert
535	535	02.03.2024	1	stroh	9	0	alles nur ein traum	generiert
536	536	02.03.2024	1	sand	6	3	alles nur ein traum	generiert
537	537	02.03.2024	2	dinkel	6	2	alles nur ein traum	generiert
538	538	02.03.2024	2	stroh	7	1	alles nur ein traum	generiert
539	539	02.03.2024	2	sand	6	2	alles nur ein traum	generiert
540	540	03.03.2024	1	dinkel	7	3	alles nur ein traum	generiert
541	541	03.03.2024	1	stroh	9	1	alles nur ein traum	generiert
542	542	03.03.2024	1	sand	4	6	alles nur ein traum	generiert
543	543	03.03.2024	2	dinkel	10	2	alles nur ein traum	generiert
544	544	03.03.2024	2	stroh	10	2	alles nur ein traum	generiert
545	545	03.03.2024	2	sand	3	9	alles nur ein traum	generiert
546	546	04.03.2024	1	dinkel	6	3	alles nur ein traum	generiert
547	547	04.03.2024	1	stroh	9	0	alles nur ein traum	generiert
548	548	04.03.2024	1	sand	6	3	alles nur ein traum	generiert
549	549	04.03.2024	2	dinkel	8	2	alles nur ein traum	generiert
550	550	04.03.2024	2	stroh	9	1	alles nur ein traum	generiert
551	551	04.03.2024	2	sand	9	1	alles nur ein traum	generiert
552	552	05.03.2024	1	dinkel	6	1	alles nur ein traum	generiert
553	553	05.03.2024	1	stroh	7	0	alles nur ein traum	generiert
554	554	05.03.2024	1	sand	3	4	alles nur ein traum	generiert
555	555	05.03.2024	2	dinkel	7	3	alles nur ein traum	generiert
556	556	05.03.2024	2	stroh	7	3	alles nur ein traum	generiert
557	557	05.03.2024	2	sand	5	5	alles nur ein traum	generiert
558	558	06.03.2024	1	dinkel	9	1	alles nur ein traum	generiert
559	559	06.03.2024	1	stroh	9	1	alles nur ein traum	generiert
560	560	06.03.2024	1	sand	6	4	alles nur ein traum	generiert
561	561	06.03.2024	2	dinkel	8	3	alles nur ein traum	generiert
562	562	06.03.2024	2	stroh	9	2	alles nur ein traum	generiert
563	563	06.03.2024	2	sand	6	5	alles nur ein traum	generiert
564	564	07.03.2024	1	dinkel	5	4	alles nur ein traum	generiert
565	565	07.03.2024	1	stroh	8	1	alles nur ein traum	generiert
566	566	07.03.2024	1	sand	3	6	alles nur ein traum	generiert
567	567	07.03.2024	2	dinkel	9	3	alles nur ein traum	generiert
568	568	07.03.2024	2	stroh	12	0	alles nur ein traum	generiert
569	569	07.03.2024	2	sand	6	6	alles nur ein traum	generiert
570	570	08.03.2024	1	dinkel	7	1	alles nur ein traum	generiert
571	571	08.03.2024	1	stroh	8	0	alles nur ein traum	generiert
572	572	08.03.2024	1	sand	4	4	alles nur ein traum	generiert
573	573	08.03.2024	2	dinkel	7	1	alles nur ein traum	generiert
574	574	08.03.2024	2	stroh	8	0	alles nur ein traum	generiert
575	575	08.03.2024	2	sand	6	2	alles nur ein traum	generiert
576	576	09.03.2024	1	dinkel	8	2	alles nur ein traum	generiert
577	577	09.03.2024	1	stroh	9	1	alles nur ein traum	generiert
578	578	09.03.2024	1	sand	6	4	alles nur ein traum	generiert
579	579	09.03.2024	2	dinkel	11	2	alles nur ein traum	generiert
580	580	09.03.2024	2	stroh	12	1	alles nur ein traum	generiert
581	581	09.03.2024	2	sand	6	7	alles nur ein traum	generiert
582	582	10.03.2024	1	dinkel	10	0	alles nur ein traum	generiert
583	583	10.03.2024	1	stroh	9	1	alles nur ein traum	generiert
584	584	10.03.2024	1	sand	7	3	alles nur ein traum	generiert
585	585	10.03.2024	2	dinkel	5	6	alles nur ein traum	generiert
586	586	10.03.2024	2	stroh	9	2	alles nur ein traum	generiert
587	587	10.03.2024	2	sand	9	2	alles nur ein traum	generiert
588	588	11.03.2024	1	dinkel	9	0	alles nur ein traum	generiert
589	589	11.03.2024	1	stroh	9	0	alles nur ein traum	generiert
590	590	11.03.2024	1	sand	4	5	alles nur ein traum	generiert
591	591	11.03.2024	2	dinkel	11	2	alles nur ein traum	generiert
592	592	11.03.2024	2	stroh	10	3	alles nur ein traum	generiert
593	593	11.03.2024	2	sand	11	2	alles nur ein traum	generiert
594	594	12.03.2024	1	dinkel	6	2	alles nur ein traum	generiert
595	595	12.03.2024	1	stroh	8	0	alles nur ein traum	generiert
596	596	12.03.2024	1	sand	3	5	alles nur ein traum	generiert
597	597	12.03.2024	2	dinkel	9	1	alles nur ein traum	generiert
598	598	12.03.2024	2	stroh	8	2	alles nur ein traum	generiert
599	599	12.03.2024	2	sand	7	3	alles nur ein traum	generiert
